scenario,base,type,propensityModelMisspecified,riskModelMisspecified,sampleSize,harm,riskModel,b0,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,g0,g1,g2,c,averageTrueBenefit,averageBenefit
127,risk,linear-high,misspecified,misspecified,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
128,risk,linear-high,misspecified,misspecified,4250,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
129,risk,linear-high,misspecified,misspecified,4250,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
130,risk,linear-high,misspecified,misspecified,4250,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
131,risk,linear-high,misspecified,misspecified,4250,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
132,risk,linear-high,misspecified,misspecified,4250,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
133,risk,linear-high,misspecified,misspecified,2125,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
134,risk,linear-high,misspecified,misspecified,2125,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
135,risk,linear-high,misspecified,misspecified,2125,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
136,risk,linear-high,misspecified,misspecified,2125,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
137,risk,linear-high,misspecified,misspecified,2125,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
138,risk,linear-high,misspecified,misspecified,2125,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
139,risk,linear-high,misspecified,misspecified,17000,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
140,risk,linear-high,misspecified,misspecified,17000,absent,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.04
141,risk,linear-high,misspecified,misspecified,17000,strong-positive,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
142,risk,linear-high,misspecified,misspecified,17000,strong-positive,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.03
143,risk,linear-high,misspecified,misspecified,17000,negative,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
144,risk,linear-high,misspecified,misspecified,17000,negative,matched,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,-0.85,0.7956044,0,0,0.04,0.05
145,risk,quadratic-high,true,true,4250,absent,control,-2,0.3,36,-0.73,-0.2,0,0,0,0.71,-0.19,0.26,0.18,1.5604,-0.07142857,0,0.04,0.04
